"","Iteration","Num_Selected","Selected_Predictors","Sensitivity","Specificity","TP","TN","FP","FN"
"141",141,11,"P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.919191919191919,0.831683168316832,91,84,17,8
"142",142,9,"P26, P32, P72, P91, P94, P143, P244, P256, P292",0.847619047619048,0.905263157894737,89,86,9,16
"143",143,11,"P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.90990990990991,0.887640449438202,101,79,10,10
"144",144,8,"P32, P63, P81, P94, P143, P244, P256, P292",0.844660194174757,0.824742268041237,87,80,17,16
"145",145,9,"P26, P32, P43, P91, P94, P143, P244, P256, P292",0.846153846153846,0.854166666666667,88,82,14,16
"146",146,8,"P7, P72, P81, P94, P143, P244, P256, P292",0.842105263157895,0.8,80,84,21,15
"147",147,11,"P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.878504672897196,0.924731182795699,94,86,7,13
"148",148,12,"P26, P32, P63, P72, P81, P91, P94, P109, P143, P244, P256, P292",0.948453608247423,0.87378640776699,92,90,13,5
"149",149,8,"P7, P26, P32, P91, P94, P143, P256, P292",0.830188679245283,0.872340425531915,88,82,12,18
"150",150,9,"P32, P63, P72, P81, P94, P143, P244, P256, P292",0.885714285714286,0.831578947368421,93,79,16,12
"151",151,10,"P26, P32, P63, P72, P81, P91, P94, P143, P256, P292",0.902912621359223,0.896907216494845,93,87,10,10
"152",152,11,"P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.897196261682243,0.881720430107527,96,82,11,11
"153",153,8,"P63, P72, P81, P91, P94, P143, P256, P292",0.891891891891892,0.898876404494382,99,80,9,12
"154",154,11,"P26, P32, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.862745098039216,0.908163265306122,88,89,9,14
"155",155,9,"P26, P63, P72, P94, P143, P211, P244, P256, P292",0.835051546391753,0.83495145631068,81,86,17,16
"156",156,9,"P26, P43, P72, P81, P94, P143, P244, P256, P292",0.862745098039216,0.785714285714286,88,77,21,14
"157",157,6,"P63, P81, P94, P143, P256, P292",0.901098901098901,0.853211009174312,82,93,16,9
"158",158,10,"P32, P63, P81, P91, P94, P143, P211, P244, P256, P292",0.875,0.864583333333333,91,83,13,13
"159",159,12,"P26, P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.881188118811881,0.919191919191919,89,91,8,12
"160",160,8,"P7, P26, P63, P81, P94, P143, P256, P292",0.854166666666667,0.798076923076923,82,83,21,14
"161",161,12,"P26, P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.888888888888889,0.821782178217822,88,83,18,11
"162",162,11,"P26, P32, P43, P81, P91, P94, P143, P211, P244, P256, P292",0.916666666666667,0.894230769230769,88,93,11,8
"163",163,9,"P32, P63, P72, P81, P94, P143, P244, P256, P292",0.858695652173913,0.814814814814815,79,88,20,13
"164",164,9,"P32, P81, P91, P94, P143, P211, P244, P256, P292",0.826086956521739,0.898148148148148,76,97,11,16
"165",165,9,"P26, P32, P63, P72, P94, P143, P244, P256, P292",0.787610619469027,0.919540229885057,89,80,7,24
"166",166,9,"P26, P32, P81, P91, P94, P143, P244, P256, P292",0.839622641509434,0.936170212765957,89,88,6,17
"167",167,11,"P32, P63, P72, P81, P91, P94, P137, P143, P244, P256, P292",0.898989898989899,0.841584158415842,89,85,16,10
"168",168,8,"P63, P81, P91, P94, P143, P244, P256, P292",0.870967741935484,0.803738317757009,81,86,21,12
"169",169,4,"P81, P94, P256, P292",0.835051546391753,0.854368932038835,81,88,15,16
"170",170,5,"P94, P143, P244, P256, P292",0.78,0.85,78,85,15,22
"171",171,9,"P81, P91, P94, P109, P143, P211, P244, P256, P292",0.854166666666667,0.865384615384615,82,90,14,14
"172",172,9,"P7, P63, P81, P91, P94, P143, P244, P256, P292",0.83495145631068,0.845360824742268,86,82,15,17
"173",173,9,"P63, P72, P81, P94, P143, P211, P244, P256, P292",0.846938775510204,0.852941176470588,83,87,15,15
"174",174,6,"P63, P81, P94, P143, P256, P292",0.836538461538462,0.885416666666667,87,85,11,17
"175",175,6,"P32, P72, P94, P143, P256, P292",0.846938775510204,0.852941176470588,83,87,15,15
"176",176,7,"P32, P63, P94, P143, P244, P256, P292",0.820754716981132,0.851063829787234,87,80,14,19
"177",177,7,"P26, P91, P94, P143, P244, P256, P292",0.871559633027523,0.868131868131868,95,79,12,14
"178",178,11,"P26, P32, P63, P72, P81, P91, P94, P143, P211, P256, P292",0.906976744186046,0.894736842105263,78,102,12,8
"179",179,8,"P63, P72, P81, P91, P94, P143, P256, P292",0.84070796460177,0.862068965517241,95,75,12,18
"180",180,7,"P26, P72, P94, P143, P244, P256, P292",0.846938775510204,0.813725490196078,83,83,19,15
